NAME,STATE,YEAR,POP,AGE,SEX,state,median_hh_income
Alabama,01,2020,5024294,0000,0,01,
Alabama,01,2020,5031864,0000,0,01,
Alabama,01,2021,5050380,0000,0,01,53913.0
Alabama,01,2022,5073903,0000,0,01,59674.0
Alabama,01,2023,5108468,0000,0,01,62212.0
Alabama,01,2020,57354,0001,0,01,
Alabama,01,2020,57034,0001,0,01,
Alabama,01,2021,56741,0001,0,01,53913.0
Alabama,01,2022,57666,0001,0,01,59674.0
Alabama,01,2023,57885,0001,0,01,62212.0
Alabama,01,2020,58484,0100,0,01,
Alabama,01,2020,58237,0100,0,01,
Alabama,01,2021,57503,0100,0,01,53913.0
Alabama,01,2022,57244,0100,0,01,59674.0
Alabama,01,2023,58419,0100,0,01,62212.0
Alabama,01,2020,60105,0200,0,01,
Alabama,01,2020,59919,0200,0,01,
Alabama,01,2021,58637,0200,0,01,53913.0
Alabama,01,2022,58117,0200,0,01,59674.0
Alabama,01,2023,58006,0200,0,01,62212.0
Alabama,01,2020,60738,0300,0,01,
Alabama,01,2020,60466,0300,0,01,
Alabama,01,2021,60349,0300,0,01,53913.0
Alabama,01,2022,59125,0300,0,01,59674.0
Alabama,01,2023,59016,0300,0,01,62212.0
Alabama,01,2020,61743,0400,0,01,
Alabama,01,2020,61665,0400,0,01,
Alabama,01,2021,60939,0400,0,01,53913.0
Alabama,01,2022,60899,0400,0,01,59674.0
Alabama,01,2023,59779,0400,0,01,62212.0
Alabama,01,2020,298424,0401,0,01,
Alabama,01,2020,297321,0401,0,01,
Alabama,01,2021,294169,0401,0,01,53913.0
Alabama,01,2022,293051,0401,0,01,59674.0
Alabama,01,2023,293105,0401,0,01,62212.0
Alabama,01,2020,4787613,0499,0,01,
Alabama,01,2020,4796208,0499,0,01,
Alabama,01,2021,4817150,0499,0,01,53913.0
Alabama,01,2022,4841751,0499,0,01,59674.0
Alabama,01,2023,4875142,0499,0,01,62212.0
Alabama,01,2020,61744,0500,0,01,
Alabama,01,2020,61867,0500,0,01,
Alabama,01,2021,62025,0500,0,01,53913.0
Alabama,01,2022,61437,0500,0,01,59674.0
Alabama,01,2023,61507,0500,0,01,62212.0
Alabama,01,2020,306562,0509,0,01,
Alabama,01,2020,306718,0509,0,01,
Alabama,01,2021,308597,0509,0,01,53913.0
Alabama,01,2022,310617,0509,0,01,59674.0
Alabama,01,2023,312594,0509,0,01,62212.0
Alabama,01,2020,572176,0513,0,01,
Alabama,01,2020,571245,0513,0,01,
Alabama,01,2021,568797,0513,0,01,53913.0
Alabama,01,2022,565816,0513,0,01,59674.0
Alabama,01,2023,565580,0513,0,01,62212.0
Alabama,01,2020,60891,0600,0,01,
Alabama,01,2020,61254,0600,0,01,
Alabama,01,2021,62259,0600,0,01,53913.0
Alabama,01,2022,62540,0600,0,01,59674.0
Alabama,01,2023,61999,0600,0,01,62212.0
Alabama,01,2020,60411,0700,0,01,
Alabama,01,2020,60579,0700,0,01,
Alabama,01,2021,61783,0700,0,01,53913.0
Alabama,01,2022,62864,0700,0,01,59674.0
Alabama,01,2023,62999,0700,0,01,62212.0
Alabama,01,2020,61484,0800,0,01,
Alabama,01,2020,61136,0800,0,01,
Alabama,01,2021,61049,0800,0,01,53913.0
Alabama,01,2022,62180,0800,0,01,59674.0
Alabama,01,2023,63416,0800,0,01,62212.0
Alabama,01,2020,62032,0900,0,01,
Alabama,01,2020,61882,0900,0,01,
Alabama,01,2021,61481,0900,0,01,53913.0
Alabama,01,2022,61596,0900,0,01,59674.0
Alabama,01,2023,62673,0900,0,01,62212.0
Alabama,01,2020,63824,1000,0,01,
Alabama,01,2020,63416,1000,0,01,
Alabama,01,2021,62185,1000,0,01,53913.0
Alabama,01,2022,61956,1000,0,01,59674.0
Alabama,01,2023,62154,1000,0,01,62212.0
Alabama,01,2020,331085,1014,0,01,
Alabama,01,2020,330463,1014,0,01,
Alabama,01,2021,328180,1014,0,01,53913.0
Alabama,01,2022,324130,1014,0,01,59674.0
Alabama,01,2023,319834,1014,0,01,62212.0
Alabama,01,2020,66246,1100,0,01,
Alabama,01,2020,65485,1100,0,01,
Alabama,01,2021,63785,1100,0,01,53913.0
Alabama,01,2022,62637,1100,0,01,59674.0
Alabama,01,2023,62540,1100,0,01,62212.0
Alabama,01,2020,68221,1200,0,01,
Alabama,01,2020,68094,1200,0,01,
Alabama,01,2021,65831,1200,0,01,53913.0
Alabama,01,2022,64327,1200,0,01,59674.0
Alabama,01,2023,63387,1200,0,01,62212.0
Alabama,01,2021,68399,1300,0,01,53913.0
Alabama,01,2020,67323,1300,0,01,
Alabama,01,2020,67532,1300,0,01,
Alabama,01,2022,66279,1300,0,01,59674.0
Alabama,01,2023,64905,1300,0,01,62212.0
Alabama,01,2020,65471,1400,0,01,
Alabama,01,2020,65936,1400,0,01,
Alabama,01,2021,67980,1400,0,01,53913.0
Alabama,01,2022,68931,1400,0,01,59674.0
Alabama,01,2023,66848,1400,0,01,62212.0
Alabama,01,2020,260220,1417,0,01,
Alabama,01,2020,261106,1417,0,01,
Alabama,01,2021,265039,1417,0,01,53913.0
Alabama,01,2022,269683,1417,0,01,59674.0
Alabama,01,2023,272155,1417,0,01,62212.0
Alabama,01,2020,64802,1500,0,01,
Alabama,01,2020,65066,1500,0,01,
Alabama,01,2021,66307,1500,0,01,53913.0
Alabama,01,2022,68484,1500,0,01,59674.0
Alabama,01,2023,69479,1500,0,01,62212.0
Alabama,01,2020,326540,1519,0,01,
Alabama,01,2020,329900,1519,0,01,
Alabama,01,2021,334190,1519,0,01,53913.0
Alabama,01,2022,338558,1519,0,01,59674.0
Alabama,01,2023,344879,1519,0,01,62212.0
Alabama,01,2020,1925183,1544,0,01,
Alabama,01,2020,1932059,1544,0,01,
Alabama,01,2021,1948426,1544,0,01,53913.0
Alabama,01,2022,1960794,1544,0,01,59674.0
Alabama,01,2023,1977594,1544,0,01,62212.0
Alabama,01,2020,65308,1600,0,01,
Alabama,01,2023,68941,1600,0,01,62212.0
Alabama,01,2020,65330,1600,0,01,
Alabama,01,2021,65301,1600,0,01,53913.0
Alabama,01,2022,66714,1600,0,01,59674.0
Alabama,01,2020,4023421,1699,0,01,
Alabama,01,2020,4032296,1699,0,01,
Alabama,01,2021,4053127,1699,0,01,53913.0
Alabama,01,2022,4077621,1699,0,01,59674.0
Alabama,01,2023,4113456,1699,0,01,62212.0
Alabama,01,2020,64639,1700,0,01,
Alabama,01,2020,64774,1700,0,01,
Alabama,01,2021,65451,1700,0,01,53913.0
Alabama,01,2022,65554,1700,0,01,59674.0
Alabama,01,2023,66887,1700,0,01,62212.0
Alabama,01,2020,64622,1800,0,01,
Alabama,01,2020,65424,1800,0,01,
Alabama,01,2021,66943,1800,0,01,53913.0
Alabama,01,2022,67447,1800,0,01,59674.0
Alabama,01,2023,67793,1800,0,01,62212.0
Alabama,01,2020,460419,1824,0,01,
Alabama,01,2020,466404,1824,0,01,
Alabama,01,2021,474559,1824,0,01,53913.0
Alabama,01,2022,477020,1824,0,01,59674.0
Alabama,01,2023,480295,1824,0,01,62212.0
Alabama,01,2020,3032580,1864,0,01,
Alabama,01,2020,3036167,1864,0,01,
Alabama,01,2021,3039320,1864,0,01,53913.0
Alabama,01,2022,3039465,1864,0,01,59674.0
Alabama,01,2023,3045316,1864,0,01,62212.0
Alabama,01,2020,3893474,1899,0,01,
Alabama,01,2020,3902192,1899,0,01,
Alabama,01,2020,67169,1900,0,01,
Alabama,01,2021,3922375,1899,0,01,53913.0
Alabama,01,2022,3945353,1899,0,01,59674.0
Alabama,01,2023,3977628,1899,0,01,62212.0
Alabama,01,2020,69306,1900,0,01,
Alabama,01,2021,70188,1900,0,01,53913.0
Alabama,01,2022,70359,1900,0,01,59674.0
Alabama,01,2023,71779,1900,0,01,62212.0
Alabama,01,2020,66860,2000,0,01,
Alabama,01,2020,68691,2000,0,01,
Alabama,01,2021,69571,2000,0,01,53913.0
Alabama,01,2022,67944,2000,0,01,59674.0
Alabama,01,2023,68567,2000,0,01,62212.0
Alabama,01,2020,328628,2024,0,01,
Alabama,01,2020,331674,2024,0,01,
Alabama,01,2021,337428,2024,0,01,53913.0
Alabama,01,2022,339214,2024,0,01,59674.0
Alabama,01,2023,340723,2024,0,01,62212.0
Alabama,01,2020,66580,2100,0,01,
Alabama,01,2020,67336,2100,0,01,
Alabama,01,2021,69374,2100,0,01,53913.0
Alabama,01,2022,69473,2100,0,01,59674.0
Alabama,01,2023,68152,2100,0,01,62212.0
Alabama,01,2020,66178,2200,0,01,
Alabama,01,2020,66639,2200,0,01,
Alabama,01,2021,67551,2200,0,01,53913.0
Alabama,01,2022,69035,2200,0,01,59674.0
Alabama,01,2023,69247,2200,0,01,62212.0
Alabama,01,2020,65080,2300,0,01,
Alabama,01,2020,65289,2300,0,01,
Alabama,01,2021,66549,2300,0,01,53913.0
Alabama,01,2022,67064,2300,0,01,59674.0
Alabama,01,2023,68558,2300,0,01,62212.0
Alabama,01,2020,63930,2400,0,01,
Alabama,01,2020,63719,2400,0,01,
Alabama,01,2021,64383,2400,0,01,53913.0
Alabama,01,2022,65698,2400,0,01,59674.0
Alabama,01,2023,66199,2400,0,01,62212.0
Alabama,01,2020,63921,2500,0,01,
Alabama,01,2020,63753,2500,0,01,
Alabama,01,2021,63041,2500,0,01,53913.0
Alabama,01,2022,63598,2500,0,01,59674.0
Alabama,01,2023,64933,2500,0,01,62212.0
Alabama,01,2020,332383,2529,0,01,
Alabama,01,2020,330679,2529,0,01,
Alabama,01,2021,324408,2529,0,01,53913.0
Alabama,01,2022,320314,2529,0,01,59674.0
Alabama,01,2023,319740,2529,0,01,62212.0
Alabama,01,2020,1270015,2544,0,01,
Alabama,01,2020,1270485,2544,0,01,
Alabama,01,2021,1276808,2544,0,01,53913.0
Alabama,01,2022,1283022,2544,0,01,59674.0
Alabama,01,2021,63470,2600,0,01,53913.0
Alabama,01,2023,1291992,2544,0,01,62212.0
Alabama,01,2020,65040,2600,0,01,
Alabama,01,2020,64786,2600,0,01,
Alabama,01,2022,62630,2600,0,01,59674.0
Alabama,01,2023,63403,2600,0,01,62212.0
Alabama,01,2020,65998,2700,0,01,
Alabama,01,2020,65620,2700,0,01,
Alabama,01,2021,64695,2700,0,01,53913.0
Alabama,01,2022,63362,2700,0,01,59674.0
Alabama,01,2023,62633,2700,0,01,62212.0
Alabama,01,2020,67698,2800,0,01,
Alabama,01,2020,67298,2800,0,01,
Alabama,01,2021,65721,2800,0,01,53913.0
Alabama,01,2022,64767,2800,0,01,59674.0
Alabama,01,2023,63533,2800,0,01,62212.0
Alabama,01,2020,69726,2900,0,01,
Alabama,01,2020,69222,2900,0,01,
Alabama,01,2021,67481,2900,0,01,53913.0
Alabama,01,2022,65957,2900,0,01,59674.0
